Preço,Área (m²),Quartos,Banheiros,Garagem,Localização
271958,288,4,1,1,Subúrbio
821155,86,2,3,1,Zona Sul
281932,160,4,1,0,Centro
515838,253,1,3,2,Zona Sul
409178,278,1,1,0,Subúrbio
794167,95,1,1,0,Zona Sul
260268,146,3,2,1,Centro
882180,87,3,1,2,Zona Sul
204886,100,1,2,2,Zona Norte
287337,65,3,2,2,Subúrbio
671430,296,4,2,1,Zona Norte
237498,47,2,3,1,Centro
325203,152,2,3,1,Zona Sul
341335,292,2,3,1,Zona Norte
428167,219,1,3,1,Zona Norte
191090,246,3,1,2,Zona Sul
479365,166,4,1,0,Zona Sul
214820,95,4,3,2,Subúrbio
937201,253,1,1,0,Zona Norte
471879,53,4,1,1,Zona Norte
868315,67,4,2,0,Centro
477069,117,4,2,2,Subúrbio
926997,255,4,2,2,Centro
349041,193,3,2,0,Zona Norte
941743,53,4,1,1,Centro
253355,226,2,3,1,Zona Norte
385796,46,1,1,2,Zona Norte
364176,42,3,1,0,Centro
334779,150,4,1,1,Centro
497449,277,3,2,1,Zona Sul
571909,278,4,2,2,Zona Sul
408795,266,2,2,1,Zona Sul
636232,54,1,3,0,Zona Norte
650186,231,4,1,2,Centro
306730,158,4,3,2,Subúrbio
534681,67,4,2,0,Zona Norte
299503,241,4,3,2,Subúrbio
804811,78,1,1,1,Centro
677035,270,1,1,1,Zona Norte
798143,125,2,2,0,Subúrbio
602366,165,1,2,1,Subúrbio
215725,64,4,3,0,Zona Sul
279981,184,2,2,0,Zona Sul
234654,52,2,2,1,Zona Sul
741723,251,2,1,0,Zona Norte
469030,64,4,2,1,Centro
478947,107,3,2,2,Centro
705839,106,4,1,2,Zona Sul
423538,272,1,1,0,Zona Sul
481236,148,1,3,1,Zona Sul
678178,185,4,2,1,Subúrbio
715894,150,4,1,2,Zona Sul
639492,267,2,3,2,Subúrbio
406840,150,4,3,1,Centro
623254,73,2,2,0,Zona Norte
499457,150,1,2,2,Zona Norte
815987,275,2,3,0,Zona Norte
420936,122,4,1,0,Zona Norte
389931,81,1,3,2,Subúrbio
389629,140,3,2,0,Subúrbio
355041,45,2,1,0,Zona Sul
848361,219,1,1,1,Subúrbio
881912,265,2,3,0,Zona Sul
567113,268,1,2,1,Zona Sul
218148,189,1,3,2,Zona Norte
927089,237,2,3,2,Subúrbio
798531,109,3,3,1,Subúrbio
